# Title: Galaxy Shape Parameters and Properties
# Authors: [Your Name]
# Table: Galaxy Simulation Data
# Description: This table contains shape parameters and properties of galaxies from cosmological simulations.
#
# Column information:
# 1. SimName (char): Simulation name
# 2. HaloID (int): Halo identification number
# 3. HaloType (char): Halo type ('o' for central, 'v' for satellite)
# 4. B_s (float): Axis ratio B/A for stellar matter [unitless]
# 5. C_s (float): Axis ratio C/A for stellar matter [unitless]
# 6. T_s (float): Triaxiality parameter for stellar matter [unitless]
# 7. B_d (float): Axis ratio B/A for dark matter [unitless]
# 8. C_d (float): Axis ratio C/A for dark matter [unitless]
# 9. T_d (float): Triaxiality parameter for dark matter [unitless]
# 10. StellarMass (float): Log10 of stellar mass [log(Msun)]
# 11. HaloMass (float): Virial mass of the halo [Msun]
# 12. Reff (float): Effective radius [kpc]
# 13. ReffMulti (int): The multiplier at which measurements are taken
# 14. TDyn (float): Dynamical time at virial radius [Gyr]
r442	1	o	0.626397	0.259285	0.651421	0.914027	0.621451	0.268093	9.175320	7.627468e+10	2.926140	1	0.095537
r468	1	o	0.728185	0.427254	0.574645	0.896187	0.775101	0.493086	9.311972	6.843624e+10	0.832325	1	0.015301
r488	1	o	0.607795	0.524674	0.870112	0.874303	0.833100	0.770058	9.242271	7.545198e+10	1.517056	1	0.035858
r489	1	o	0.731434	0.314437	0.516024	0.841009	0.614495	0.470285	8.899889	6.557042e+10	1.708819	1	0.045984
r492	1	o	0.701798	0.212173	0.531402	0.859968	0.557317	0.377801	9.074479	7.289577e+10	4.087225	1	0.161329
r502	1	o	0.739573	0.411099	0.545166	0.890183	0.731126	0.445960	9.152383	7.140404e+10	1.103850	1	0.022878
r515	1	o	0.800954	0.194336	0.372543	0.832704	0.486759	0.401806	9.041932	7.803121e+10	4.761724	1	0.196080
r523	1	o	0.849012	0.294458	0.305683	0.881955	0.574991	0.331880	8.727250	5.847184e+10	2.797581	1	0.102005
r544	1	o	0.888653	0.219223	0.220912	0.928207	0.580396	0.208751	8.897077	6.489414e+10	2.881652	1	0.101223
r552	1	o	0.792984	0.288757	0.404940	0.885782	0.571268	0.319735	8.581151	4.938257e+10	2.229380	1	0.078961
r555	1	o	0.524550	0.451599	0.910546	0.729659	0.645487	0.801579	8.940206	5.502352e+10	1.160941	1	0.028110
r556	1	o	0.615450	0.470485	0.797825	0.826706	0.744128	0.709335	9.036327	5.347690e+10	1.272411	1	0.032717
r563	1	o	0.416406	0.275008	0.894237	0.677099	0.562338	0.791980	8.608319	4.864972e+10	1.170011	1	0.030246
r568	1	o	0.585297	0.225454	0.692634	0.872592	0.529384	0.331479	9.285804	6.400976e+10	2.647754	1	0.089766
r569	1	o	0.704227	0.213054	0.528032	0.895083	0.545839	0.283204	8.677846	5.096602e+10	3.004071	1	0.121575
r571	1	o	0.920180	0.241366	0.162750	0.964731	0.612412	0.110879	8.643597	5.981995e+10	3.337209	1	0.131393
r597	1	o	0.846758	0.250004	0.301868	0.921700	0.592515	0.231873	8.738644	5.314982e+10	2.524201	1	0.091697
r613	1	o	0.905133	0.282427	0.196400	0.943435	0.595727	0.170407	8.739247	5.555640e+10	1.962971	1	0.061507
r614	1	o	0.833198	0.204498	0.319127	0.981490	0.828013	0.116662	8.631780	5.043218e+10	4.086757	1	0.193926
r615	1	o	0.552902	0.311556	0.768937	0.511206	0.431990	0.908142	9.473264	1.531747e+11	2.001125	1	0.038128
r618	1	o	0.508000	0.438472	0.918531	0.708348	0.632273	0.830086	8.643100	4.786908e+10	0.993730	1	0.023867
r634	1	o	0.963726	0.256601	0.076253	0.964708	0.593008	0.106949	8.647903	4.810429e+10	3.276202	1	0.142523
r642	1	o	0.904236	0.253323	0.194861	0.935792	0.628906	0.205621	8.694107	4.928859e+10	3.117887	1	0.130719
r656	1	o	0.855886	0.249410	0.285201	0.949664	0.621945	0.160045	8.761295	4.800459e+10	2.418251	1	0.090476
r716	1	o	0.493907	0.375385	0.880071	0.689594	0.549516	0.751341	8.141306	3.410447e+10	0.832783	1	0.021693
r718	1	o	0.668304	0.264046	0.594842	0.866853	0.564421	0.364771	8.241918	3.656448e+10	2.862137	1	0.133483
r753	1	o	0.745072	0.430305	0.545958	0.860193	0.566796	0.383162	8.033025	2.824805e+10	1.245955	1	0.043619
r761	1	o	0.606873	0.292740	0.690914	0.825599	0.579981	0.479770	8.131675	3.492654e+10	2.255499	1	0.095545
r850	1	o	0.661556	0.566463	0.828048	0.732878	0.623492	0.757274	7.999876	2.800540e+10	0.854103	1	0.024864
r852	1	o	0.605381	0.462685	0.806077	0.806443	0.663674	0.624891	8.050318	3.118053e+10	0.808509	1	0.021702
r886	1	o	0.732225	0.276216	0.502159	0.945957	0.702648	0.207718	8.589570	4.023072e+10	1.786145	1	0.062736
r916	1	o	0.566658	0.320031	0.756365	0.842063	0.657591	0.512585	8.074261	2.648652e+10	1.054462	1	0.035072
r918	1	o	0.698587	0.319777	0.570293	0.849550	0.539775	0.392674	8.674523	5.655482e+10	2.534863	1	0.089458
r977	1	o	0.940210	0.363272	0.133641	0.940121	0.528469	0.161190	7.950685	2.539614e+10	1.774949	1	0.078220
