# Title: Galaxy Shape Parameters and Properties
# Authors: [Your Name]
# Table: Galaxy Simulation Data
# Description: This table contains shape parameters and properties of galaxies from cosmological simulations.
#
# Column information:
# 1. SimName (char): Simulation name
# 2. HaloID (int): Halo identification number
# 3. HaloType (char): Halo type ('o' for central, 'v' for satellite)
# 4. B_s (float): Axis ratio B/A for stellar matter [unitless]
# 5. C_s (float): Axis ratio C/A for stellar matter [unitless]
# 6. T_s (float): Triaxiality parameter for stellar matter [unitless]
# 7. B_d (float): Axis ratio B/A for dark matter [unitless]
# 8. C_d (float): Axis ratio C/A for dark matter [unitless]
# 9. T_d (float): Triaxiality parameter for dark matter [unitless]
# 10. StellarMass (float): Log10 of stellar mass [log(Msun)]
# 11. HaloMass (float): Virial mass of the halo [Msun]
# 12. Reff (float): Effective radius [kpc]
# 13. ReffMulti (int): The multiplier at which measurements are taken
# 14. TDyn (float): Dynamical time at virial radius [Gyr]
# 15. AbsAngle (float): Absolute angle between dark matter and stellar matter [degrees]
# 16. AxisA_Angle (float): Angle difference for axis A [degrees]
# 17. AxisB_Angle (float): Angle difference for axis B [degrees]
# 18. AxisC_Angle (float): Angle difference for axis C [degrees]
r442	1	o	0.809320	0.214495	0.361640	0.955408	0.589377	0.133606	9.175320	7.627468e+10	5.852279	2	0.270221	2.319394	46.380169	46.317072	2.350939
r468	1	o	0.821011	0.555698	0.471559	0.920669	0.834371	0.501500	9.311972	6.843624e+10	1.664649	2	0.043277	11.670609	17.544228	13.424739	12.083218
r488	1	o	0.766386	0.666862	0.743123	0.884056	0.855040	0.812343	9.242271	7.545198e+10	3.034113	2	0.101422	7.494993	4.273210	7.319155	6.362563
r489	1	o	0.942306	0.331387	0.125884	0.839722	0.566511	0.434224	8.899889	6.557042e+10	3.417637	2	0.130064	44.408862	44.415466	44.623983	4.221475
r492	1	o	0.922779	0.181561	0.153540	0.935795	0.555494	0.179755	9.074479	7.289577e+10	8.174450	2	0.456308	32.259049	32.257505	32.257248	0.452286
r502	1	o	0.892484	0.457425	0.257312	0.891221	0.673792	0.376782	9.152383	7.140404e+10	2.207700	2	0.064710	9.726128	4.058357	9.061583	9.515488
r515	1	o	0.869059	0.148765	0.250275	0.844792	0.444860	0.356972	9.041932	7.803121e+10	9.523448	2	0.554598	34.443201	34.432442	34.432517	1.178807
r523	1	o	0.809819	0.215882	0.361018	0.973639	0.585337	0.079144	8.727250	5.847184e+10	5.595163	2	0.288514	38.241648	38.229090	38.188607	2.156654
r544	1	o	0.833730	0.224872	0.321133	0.943752	0.599285	0.170603	8.897077	6.489414e+10	5.763304	2	0.286303	30.988285	30.989455	31.082759	2.377264
r552	1	o	0.920702	0.246741	0.162181	0.900923	0.529576	0.261743	8.581151	4.938257e+10	4.458759	2	0.223334	58.050001	58.065024	58.059046	1.529852
r555	1	o	0.533088	0.483582	0.934307	0.687474	0.571774	0.783537	8.940206	5.502352e+10	2.321882	2	0.079507	4.323817	2.451049	3.565023	4.320865
r556	1	o	0.695107	0.497954	0.687231	0.822844	0.710127	0.651431	9.036327	5.347690e+10	2.544823	2	0.092539	16.581041	14.333117	16.383974	8.671731
r563	1	o	0.590889	0.335456	0.733378	0.664414	0.522274	0.768058	8.608319	4.864972e+10	2.340021	2	0.085548	5.270292	2.892588	5.187205	4.502134
r568	1	o	0.881785	0.191966	0.230966	0.948253	0.502816	0.134930	9.285804	6.400976e+10	5.295507	2	0.253898	15.896057	15.836357	15.893490	1.396759
r569	1	o	0.907593	0.296321	0.193244	0.934744	0.646501	0.216918	8.677846	5.096602e+10	6.008141	2	0.343867	15.654856	15.557555	15.598823	2.174809
r571	1	o	0.878902	0.207460	0.237765	0.970942	0.570924	0.084967	8.643597	5.981995e+10	6.674418	2	0.371636	54.081104	54.112617	54.118755	2.533991
r597	1	o	0.920130	0.232232	0.162104	0.935193	0.549174	0.179571	8.738644	5.314982e+10	5.048403	2	0.259359	16.175141	15.914100	16.123008	3.151447
r613	1	o	0.912796	0.246084	0.177556	0.969285	0.538329	0.085169	8.739247	5.555640e+10	3.925942	2	0.173968	14.056393	14.040904	14.041207	0.923749
r614	1	o	0.803526	0.210172	0.370722	0.969006	0.819969	0.186258	8.631780	5.043218e+10	8.173513	2	0.548505	37.040508	37.107520	37.046638	2.247913
r615	1	o	0.613753	0.357260	0.714502	0.597547	0.480113	0.835536	9.473264	1.531747e+11	4.002251	2	0.107841	41.682135	5.726343	41.554835	41.378418
r618	1	o	0.488028	0.428141	0.932818	0.586335	0.516264	0.894665	8.643100	4.786908e+10	1.987459	2	0.067506	4.278637	4.133981	3.120760	3.127262
r634	1	o	0.681105	0.174398	0.552913	0.901497	0.583807	0.284152	8.647903	4.810429e+10	6.552405	2	0.403116	81.702865	81.666802	81.702853	2.022608
r642	1	o	0.855637	0.209737	0.280211	0.953488	0.562486	0.132913	8.694107	4.928859e+10	6.235775	2	0.369729	0.237867	44.345852	44.338110	0.856283
r656	1	o	0.931051	0.209427	0.139252	0.927120	0.607561	0.222626	8.761295	4.800459e+10	4.836502	2	0.255904	3.829399	53.972602	54.112454	4.043789
r716	1	o	0.534810	0.390091	0.842125	0.612181	0.480450	0.812870	8.141306	3.410447e+10	1.665567	2	0.061356	8.427586	3.987807	7.504518	8.353591
r718	1	o	0.896327	0.298550	0.215836	0.955409	0.607991	0.138327	8.241918	3.656448e+10	5.724274	2	0.377548	1.435142	56.521869	56.542432	1.467498
r753	1	o	0.813618	0.407080	0.405167	0.854207	0.475770	0.349424	8.033025	2.824805e+10	2.491910	2	0.123375	2.796749	4.098583	3.018269	2.821123
r761	1	o	0.737428	0.237152	0.483386	0.872953	0.576660	0.356503	8.131675	3.492654e+10	4.510997	2	0.270242	7.180649	5.725649	7.079197	4.493528
r850	1	o	0.485144	0.416786	0.925385	0.572531	0.488316	0.882688	7.999876	2.800540e+10	1.708206	2	0.070325	21.108289	0.830148	21.106407	21.093467
r852	1	o	0.652920	0.461816	0.729219	0.690125	0.503366	0.701461	8.050318	3.118053e+10	1.617017	2	0.061383	8.846309	5.912921	8.840618	6.581648
r886	1	o	0.729359	0.295845	0.512929	0.955320	0.659293	0.154534	8.589570	4.023072e+10	3.572290	2	0.177444	23.970442	23.217002	23.377313	7.870489
r916	1	o	0.698043	0.355360	0.586843	0.801657	0.580059	0.538551	8.074261	2.648652e+10	2.108925	2	0.099197	3.607317	4.529405	2.738340	3.607413
r918	1	o	0.868341	0.422900	0.299559	0.933935	0.543523	0.181335	8.674523	5.655482e+10	5.069726	2	0.253025	7.007088	6.562539	6.982971	2.521077
r977	1	o	0.911553	0.278590	0.183298	0.970008	0.513917	0.080289	7.950685	2.539614e+10	3.549899	2	0.221239	1.427783	53.886317	53.868903	1.570109
