Mass,Triaxiality
291167088.3297824,0.4870765720966968
290174775.7902417,0.3524071237374106
285342294.3984947,0.5155576775596792
278081470.93844086,0.5860464669964713
276548630.43020725,0.6311688665637314
271215958.9778788,0.5844058320784992
269691186.0512675,0.37169289267048855
268876360.30741704,0.49580491630949153
265028123.87358847,0.44215172969553235
263156444.93721902,0.4098057974155686
255992432.45663255,0.7316279863140349
253943266.7245729,0.499858222138707
252144196.02280402,0.6519378750600056
250667828.58592638,0.529071735648069
247852242.59974992,0.49335637163529783
245504576.34766585,0.441636208556863
243729708.39076382,0.5316678005425752
242075854.15819597,0.5773599257482918
241212622.9246118,0.5712942115951893
238372834.19356853,0.3889905897695255
236541493.16531047,0.8169607116619035
228836952.71603107,0.5700245105483167
225311419.5470938,0.5302417238518385
217889244.4545943,0.37269837387015364
217429392.30212423,0.5042031515909836
214952644.74408364,0.46833001483894665
214428251.9386353,0.49401566727009416
212088653.2681735,0.45474784315296835
212056382.94168437,0.525618594093142
207893510.8245868,0.5146210022733674
204238896.34969303,0.4787190317492518
200955390.6294242,0.5458855191200735
200503606.05857643,0.6199504065733414
199317671.56010097,0.5397363805492756
199172455.09089988,0.3826343736345113
196139044.40092182,0.4545364598285928
193759107.82234862,0.4432215289732786
192669984.30334055,0.4762660156837973
190362655.95936787,0.47897267984916364
189265464.8587375,0.5891185982886149
187547069.9731914,0.5522098434666262
187474461.7385909,0.569604206007587
187119488.14721048,0.5477596347305829
185296214.70057473,0.6009878908283337
184892835.61946064,0.36230992614238927
184086077.45723242,0.5922591223652547
182795264.3976673,0.868549690953958
182254736.4289744,0.6979821019326667
181956235.90894994,0.5902743276423081
179737650.96282238,0.6406398401757503
174622804.21429554,0.6017349347987848
172154124.23787725,0.5825879938148559
171468379.79998326,0.5064954579516819
171444177.05511642,0.5821653524554044
170766500.1988447,0.4795291543612751
169467619.5576573,0.4622758023689858
168636658.65056226,0.509117221523273
168604388.32407314,0.48858927593484397
168241347.15107042,0.5651276741723483
164183353.59506252,0.7167797812475467
161464578.58835346,0.5583410422813133
159068506.84653568,0.38353377404890965
157277503.72638908,0.49760507484828415
157188760.32854396,0.5293437482055128
154736215.51537022,0.48265012925059536
154486120.48507947,0.6252261820610432
150670154.37774006,0.6056369540243902
150428126.9290716,0.4694295783964642
147201094.28015876,0.5173183839699921
144740481.8853627,0.6767229349990318
143102762.81603947,0.5464665448052808
141610260.2159173,0.6517471062410752
139883797.7487489,0.845177691494087
138681728.0870289,0.6353407506119206
138576849.52593923,0.5058275109912787
129452414.71113819,0.5312774224913569
127822763.22343722,0.5765072890017523
127298370.41798888,0.4837905729888433
127096680.87743182,0.5788616824807834
127040207.80607586,0.6185016740870702
126943396.82660848,0.5991398715848654
125055582.72699445,0.40524432002343796
121868887.98619305,0.5569841551293713
121570387.4661686,0.600670494121709
121134738.05856538,0.695355926693761
120997589.17098658,0.571054975288929
119448613.49950843,0.6544047177938868
119384072.84653017,0.6165542467092175
118569247.10267967,0.4806178251548423
118044854.29723135,0.567023269259558
117964178.48100853,0.5252360024909336
117794759.2669406,0.5933631209248336
116148972.61599505,0.5426034653543026
114083671.72069085,0.5914990640119168
113599616.82335392,0.47703254586093
112405614.74325617,0.5757480604827613
111243882.98964755,0.5138717744132112
108912351.90080804,0.6020068231442234
108186269.55480264,0.6124064455141771
108097526.15695754,0.5289308121637991
107855498.70828909,0.5600703021062298
106201644.47572127,0.5870350888164637
104354168.28421867,0.49979591522053063
100788297.20716998,0.7977041352149143
100643080.7379689,0.6074157306003933
100102552.76927601,0.6108509135257133
99586227.54544994,0.6626002736280076
