# Title: Galaxy Shape Parameters and Properties
# Authors: [Your Name]
# Table: Galaxy Simulation Data
# Description: This table contains shape parameters and properties of galaxies from cosmological simulations.
#
# Column information:
# 1. SimName (char): Simulation name
# 2. HaloID (int): Halo identification number
# 3. HaloType (char): Halo type ('o' for central, 'v' for satellite)
# 4. B_s (float): Axis ratio B/A for stellar matter [unitless]
# 5. C_s (float): Axis ratio C/A for stellar matter [unitless]
# 6. T_s (float): Triaxiality parameter for stellar matter [unitless]
# 7. B_d (float): Axis ratio B/A for dark matter [unitless]
# 8. C_d (float): Axis ratio C/A for dark matter [unitless]
# 9. T_d (float): Triaxiality parameter for dark matter [unitless]
# 10. StellarMass (float): Log10 of stellar mass [log(Msun)]
# 11. HaloMass (float): Virial mass of the halo [Msun]
# 12. Reff (float): Effective radius [kpc]
# 13. ReffMulti (int): The multiplier at which measurements are taken
# 14. Jz_Jcirc (float): Ratio of z-component of angular momentum to circular angular momentum, averaged over all particles in the halo [unitless]
# 15. TDyn (float): Dynamical time at virial radius [Gyr]
# 16. AbsAngle (float): Absolute angle between dark matter and stellar matter [degrees]
# 17. AxisA_Angle (float): Angle difference for axis A [degrees]
# 18. AxisB_Angle (float): Angle difference for axis B [degrees]
# 19. AxisC_Angle (float): Angle difference for axis C [degrees]
h229	2	v	0.938196	0.525179	0.165411	0.934622	0.759311	0.298697	8.916997	5.005167e+10	2.930927	2	0.105037	0.118228	8.664298	8.638352	8.629903	1.019724
h229	3	v	0.568086	0.454738	0.853842	0.671914	0.537962	0.771930	7.542794	1.069968e+10	2.182156	2	0.000728	0.164272	8.077090	2.293627	7.949466	7.874494
h229	6	v	0.882439	0.532591	0.308930	0.854372	0.653967	0.471843	7.393811	7.610131e+09	2.652502	2	0.011707	0.261041	nan	nan	nan	nan
h229	18	v	0.959326	0.825738	0.250487	0.939941	0.864930	0.462535	7.887329	1.509991e+09	2.950463	2	1834.926644	0.687494	61.267586	48.959550	60.954052	34.981544
h242	8	v	0.920568	0.498330	0.202955	0.938045	0.801167	0.335272	8.903241	1.194731e+10	4.568247	2	54767.562712	0.470880	3.646238	54.268603	54.367597	4.168271
h242	10	v	0.957223	0.686422	0.158321	0.969523	0.878710	0.263423	8.900651	9.255485e+09	3.966616	2	16665.527907	0.432864	85.875727	85.811251	85.788966	4.158410
r431	1	o	0.791230	0.169630	0.385034	0.962452	0.580018	0.111044	9.170688	8.993067e+10	7.373566	2	0.515400	0.351952	19.146490	19.123437	19.087494	1.755038
r442	1	o	0.808728	0.212149	0.362264	0.956927	0.585910	0.128352	9.175320	7.627468e+10	5.852279	2	0.466684	0.270221	47.010013	47.009925	47.009752	0.171097
r468	1	o	0.820802	0.555569	0.471958	0.924537	0.845237	0.508557	9.311972	6.843624e+10	1.664649	2	0.078831	0.043277	17.084778	17.084344	13.216508	10.779018
r488	1	o	0.765384	0.666805	0.745785	0.886322	0.860437	0.825861	9.242271	7.545198e+10	3.034113	2	-0.003651	0.101422	13.210729	10.357973	10.155558	11.752675
